original_skill,normalized_skill
năng động,năng động
năng động và không ngại thay đổi.,năng động và không ngại thay đổi
nắm bắt các công việc nhanh không có tiền án hình sự không săm trổ quá nhiều có đầy đủ giấy tờ tùy thân nếu ứng viên có kinh nghiệm về hàn,nắm bắt các công việc nhanh không có tiền án hình sự không săm trổ quá nhiều có đầy đủ giấy tờ tùy thân nếu ứng viên có kinh nghiệm về hàn
nội thất có doanh thu từ 300 tỷ trở lên,nội thất có doanh thu từ 300 tỷ trở lên
nỮ từ 19 - 27 tuổi,nữ từ 19 - 27 tuổi
nữ,nữ
nữ (từ 20 – 50 tuổi) -Có đầy đủ phương tiện làm việc: Laptop,nữ (từ 20 – 50 tuổi) -có đầy đủ phương tiện làm việc: laptop
nữ tuổi từ 23-35,nữ tuổi từ 23-35
or RESTful.● Good knowledge about Design patterns● Good knowledge in Restful API development.● Experience in requirement analysis,or restful.● good knowledge about design patterns● good knowledge in restful api development.● experience in requirement analysis
phiếu kiểm hàng,phiếu kiểm hàng
php,php
phân bổ thời gian hợp lý. Có sự kiên trì tốt,phân bổ thời gian hợp lý. có sự kiên trì tốt
phân công,phân công
phân tích,phân tích
phân tích thông tin và lên kế hoạch cho chuỗi cung ứng + Khả năng thích ứng và tính linh hoạt khi làm việc với các chuỗi cung ứng + Khả năng giữ bình tĩnh dưới áp lực + Kỹ năng giải quyết vấn đề hiệu quả + Làm việc có trách nhiệm và luôn cố gắng hoàn thành công việc đúng hạn + Hiểu biết về hậu cần và chuỗi cung ứng + Liên tục tìm kiếm cải tiến quy trình cung ứng hàng hóa + Kỹ năng quản lý và theo dõi tiến độ dự án + Kỹ năng quản lý thời gian và chi phí + Có khả năng quản lý và giải tỏa căng thẳng,phân tích thông tin và lên kế hoạch cho chuỗi cung ứng + khả năng thích ứng và tính linh hoạt khi làm việc với các chuỗi cung ứng + khả năng giữ bình tĩnh dưới áp lực + kỹ năng giải quyết vấn đề hiệu quả + làm việc có trách nhiệm và luôn cố gắng hoàn thành công việc đúng hạn + hiểu biết về hậu cần và chuỗi cung ứng + liên tục tìm kiếm cải tiến quy trình cung ứng hàng hóa + kỹ năng quản lý và theo dõi tiến độ dự án + kỹ năng quản lý thời gian và chi phí + có khả năng quản lý và giải tỏa căng thẳng
phù hợp với loại hình vận tải của doanh nghiệp - Hiểu rõ các quy tắc vận tải đối với hành khách và với hàng hóa - Nắm rõ luật giao thông và có thể đảm bảo sự tỉnh táo trong quá trình lái xe,phù hợp với loại hình vận tải của doanh nghiệp - hiểu rõ các quy tắc vận tải đối với hành khách và với hàng hóa - nắm rõ luật giao thông và có thể đảm bảo sự tỉnh táo trong quá trình lái xe
phương tiện đi lại.- Yêu thích kinh doanh,phương tiện đi lại.- yêu thích kinh doanh
phản biện tốt,phản biện tốt
phần mềm tính km,phần mềm tính km
phần mềm tính tiền đối với xe taxi,phần mềm tính tiền đối với xe taxi
phối hợp điều phối công việc tốt,phối hợp điều phối công việc tốt
phụ trách báo cáo tổng hợp Phụ trách tốt những đầu việc mà sếp giao (không liên quan đến vị trí công việc như làm powerpoint,phụ trách báo cáo tổng hợp phụ trách tốt những đầu việc mà sếp giao (không liên quan đến vị trí công việc như làm powerpoint
phục vụ tốt cho công việc với khách nước ngoài. - Có thể sử dụng các phần mềm quản lý hệ thống xe,phục vụ tốt cho công việc với khách nước ngoài. - có thể sử dụng các phần mềm quản lý hệ thống xe
poster qua Portfolio.. - Chủ động và biết sắp xếp trong công việc.. - Thái độ tích cực,poster qua portfolio.. - chủ động và biết sắp xếp trong công việc.. - thái độ tích cực
powerpoint),powerpoint
presentation & design platforms- A passion for high quality teaching and learning- A strong sense responsibility and attention to details,presentation & design platforms- a passion for high quality teaching and learning- a strong sense responsibility and attention to details
qua 4 năm kinh nghiệm ở vị trí kế toán tôi đã rèn luyện được các kỹ năng,qua 4 năm kinh nghiệm ở vị trí kế toán tôi đã rèn luyện được các kỹ năng
quan sát từ xa để giảm thiểu những rủi ro không đáng có - Có sức khỏe tốt để thực hiện được tất cả các công việc được giao phó như bốc dỡ hàng hóa khi thiếu người,quan sát từ xa để giảm thiểu những rủi ro không đáng có - có sức khỏe tốt để thực hiện được tất cả các công việc được giao phó như bốc dỡ hàng hóa khi thiếu người
quản lý -Làm việc độc lập và làm việc nhóm,quản lý -làm việc độc lập và làm việc nhóm
quản lý tốt - Chịu được áp lực cao trong công việc - Kỹ năng làm việc nhóm hiệu quả - Khả năng nhận diện vấn đề nhanh - Kỹ năng tin học văn phòng thành thạo - Có tầm nhìn và sự quyết đoán,quản lý tốt - chịu được áp lực cao trong công việc - kỹ năng làm việc nhóm hiệu quả - khả năng nhận diện vấn đề nhanh - kỹ năng tin học văn phòng thành thạo - có tầm nhìn và sự quyết đoán
quản lý tốt - Chịu được áp lực cao trong công việc - Kỹ năng tự chủ,quản lý tốt - chịu được áp lực cao trong công việc - kỹ năng tự chủ
quản lý tốt - Có khả năng làm việc dưới áp lực cao - Kỹ năng làm việc nhóm cũng như làm việc độc lập. - Khả năng nhận diện vấn đề nhanh - Sử dụng cơ bản phần mềm Microsoft Word,quản lý tốt - có khả năng làm việc dưới áp lực cao - kỹ năng làm việc nhóm cũng như làm việc độc lập. - khả năng nhận diện vấn đề nhanh - sử dụng cơ bản phần mềm microsoft word
quản lý tốt - Có khả năng làm việc dưới áp lực cao - Kỹ năng làm việc nhóm cũng như làm việc độc lập. - Xử lý tình huống nhanh - Thành thạo tin học văn phòng - Kỹ năng lãnh đạo tốt,quản lý tốt - có khả năng làm việc dưới áp lực cao - kỹ năng làm việc nhóm cũng như làm việc độc lập. - xử lý tình huống nhanh - thành thạo tin học văn phòng - kỹ năng lãnh đạo tốt
quản lý tốt - Khả năng tư duy sáng tạo. - Làm việc độc lập và làm việc nhóm - Xử lý tình huống nhanh - Kỹ năng thao tác bàn phím tốt - Kỹ năng lãnh đạo tốt,quản lý tốt - khả năng tư duy sáng tạo. - làm việc độc lập và làm việc nhóm - xử lý tình huống nhanh - kỹ năng thao tác bàn phím tốt - kỹ năng lãnh đạo tốt
quy trình nhận và giải quyết thông tin khách hàng,quy trình nhận và giải quyết thông tin khách hàng
quy trình xử lý khiếu nại thông tin,quy trình xử lý khiếu nại thông tin
quản lý công việc trong team Kinh doanh và thực hiện theo kế hoạch được duyệt,quản lý công việc trong team kinh doanh và thực hiện theo kế hoạch được duyệt
quản lý thi côngNgười có mong muốn làm việc lâu năm tại Nhật Bản (trên 10 năm)Ưu tiên các ứng viên có bằng lái ô tô,quản lý thi côngngười có mong muốn làm việc lâu năm tại nhật bản (trên 10 năm)ưu tiên các ứng viên có bằng lái ô tô
quản lý thời gian biểu phù hợp.,quản lý thời gian biểu phù hợp
quản lý tổ chức công việc tốt,quản lý tổ chức công việc tốt
quản lý và giám sát công việc.- Kỹ năng phân tích,quản lý và giám sát công việc.- kỹ năng phân tích
quản lý.• Kỹ năng xử lý tình huống tốt.• Kỹ năng đào tạo tốt.• Thành thạo các hệ thống PM của bộ phận.• Kỹ năng giao tiếp tốt.• Có kiến thức tốt về văn hóa,quản lý.• kỹ năng xử lý tình huống tốt.• kỹ năng đào tạo tốt.• thành thạo các hệ thống pm của bộ phận.• kỹ năng giao tiếp tốt.• có kiến thức tốt về văn hóa
quản trị khách sạn,quản trị khách sạn
quản trị nhà hàng - khách sạn.- Có kinh nghiệm vị trí tương đương tại các nhà hàng trong khách sạn 3 sao trở lên.- Giao tiếp tiếng Anh tốt.- Tin học văn phòng cơ bản,quản trị nhà hàng - khách sạn.- có kinh nghiệm vị trí tương đương tại các nhà hàng trong khách sạn 3 sao trở lên.- giao tiếp tiếng anh tốt.- tin học văn phòng cơ bản
quận 9 + mô tả công việc : thời gian từ 7h30 đến 11h30,quận 9 + mô tả công việc : thời gian từ 7h30 đến 11h30
servers,servers
siêng năng,siêng năng
spa)- Cẩn thận,spa)- cẩn thận
such as Git- Fluent in English communication,such as git- fluent in english communication
such as HTML5,such as html5
such as mobile vs. desktop,such as mobile vs. desktop
system design,system design
sáng tạo,sáng tạo
sắp xếp,sắp xếp
sơn tường,sơn tường
sản phẩm Phối hợp với bộ phận sản xuất để tìm cách giải quyết khi có lỗi phát sinh Trình độ ngoại ngữ tốt: TOEIC 900,sản phẩm phối hợp với bộ phận sản xuất để tìm cách giải quyết khi có lỗi phát sinh trình độ ngoại ngữ tốt: toeic 900
sản xuất tại quận 2,sản xuất tại quận 2
sắp xếp khối lượng công việc lớn - Có khả năng làm việc dưới áp lực cao - Có khả năng xây dựng và làm việc theo đội nhóm - Khả năng nhận diện vấn đề nhanh - Kỹ năng thao tác bàn phím tốt - Khả năng giải quyết vấn đề linh hoạt,sắp xếp khối lượng công việc lớn - có khả năng làm việc dưới áp lực cao - có khả năng xây dựng và làm việc theo đội nhóm - khả năng nhận diện vấn đề nhanh - kỹ năng thao tác bàn phím tốt - khả năng giải quyết vấn đề linh hoạt
sắp xếp khối lượng công việc lớn - Có khả năng làm việc dưới áp lực cao - Kỹ năng tự chủ,sắp xếp khối lượng công việc lớn - có khả năng làm việc dưới áp lực cao - kỹ năng tự chủ
sắp xếp khối lượng công việc lớn - Có thể chịu được công việc có nhiều áp lực - Kỹ năng làm việc nhóm cũng như làm việc độc lập. - Khả năng tìm kiếm giải pháp và lựa chọn các giải pháp tối ưu - Kỹ năng thao tác bàn phím tốt - Có tầm nhìn và sự quyết đoán,sắp xếp khối lượng công việc lớn - có thể chịu được công việc có nhiều áp lực - kỹ năng làm việc nhóm cũng như làm việc độc lập. - khả năng tìm kiếm giải pháp và lựa chọn các giải pháp tối ưu - kỹ năng thao tác bàn phím tốt - có tầm nhìn và sự quyết đoán
sắp xếp khối lượng công việc lớn - Khả năng chịu được áp lực công việc - Kỹ năng làm việc nhóm cũng như làm việc độc lập. - Xử lý tình huống nhanh - Sử dụng thành thạo phần mềm Microsoft Word,sắp xếp khối lượng công việc lớn - khả năng chịu được áp lực công việc - kỹ năng làm việc nhóm cũng như làm việc độc lập. - xử lý tình huống nhanh - sử dụng thành thạo phần mềm microsoft word
sắp xếp và triển khai kế hoạch để thực hiện nhiệm vụ được phân công.- Có ít nhất từ 3 năm kinh nghiệm làm kế toán tổng hợp (ưu tiên ứng viên đã có kinh nghiệm trong lĩnh vực,sắp xếp và triển khai kế hoạch để thực hiện nhiệm vụ được phân công.- có ít nhất từ 3 năm kinh nghiệm làm kế toán tổng hợp (ưu tiên ứng viên đã có kinh nghiệm trong lĩnh vực
sẵn sàng cho công việc. - Có sức khỏe tốt để phục vụ công việc lái xe.,sẵn sàng cho công việc. - có sức khỏe tốt để phục vụ công việc lái xe
sẵn sàng đi công tác nếu được phân công. 5. Tiếng Anh: Đọc hiểu bản vẽ,sẵn sàng đi công tác nếu được phân công. 5. tiếng anh: đọc hiểu bản vẽ
sẻ chia cùng khách hàng và đồng nghiệp.,sẻ chia cùng khách hàng và đồng nghiệp
sổ sách,sổ sách
sức khỏe đảm bảo tốt cho tính chất công việc vận tải Chăm chỉ,sức khỏe đảm bảo tốt cho tính chất công việc vận tải chăm chỉ
sử dụng thành thạo Word,sử dụng thành thạo word
sử dụng thành thạo vi tính văn phòng.- Ưu tiên ứng viên có kinh nghiệm quản lý tại các xưởng dịch vụ xe ô tô,sử dụng thành thạo vi tính văn phòng.- ưu tiên ứng viên có kinh nghiệm quản lý tại các xưởng dịch vụ xe ô tô
sửa chữa xe tốt Am hiểu các kỹ thuật khó,sửa chữa xe tốt am hiểu các kỹ thuật khó
tham giá quyết toán thuế. •Sử dụng thành thạo phần mềm kế toán thông dụng (Misa…) và tin học văn phòng,tham giá quyết toán thuế. •sử dụng thành thạo phần mềm kế toán thông dụng (misa…) và tin học văn phòng
theo dõi điểm số chất lượng và thông báo đến Phụ huynh– Hỗ trợ chi nhánh và Schooling– Giải đáp thắc mắc phụ huynh liên quan đến Trung tâm– Và một số công việc khác theo phân công của Trưởng chi nhánh.,theo dõi điểm số chất lượng và thông báo đến phụ huynh– hỗ trợ chi nhánh và schooling– giải đáp thắc mắc phụ huynh liên quan đến trung tâm– và một số công việc khác theo phân công của trưởng chi nhánh
theo nhóm- Ưu tiên ứng viên có kinh nghiệm làm trong lĩnh vực SEO tối thiểu từ 6 tháng trở lên.,theo nhóm- ưu tiên ứng viên có kinh nghiệm làm trong lĩnh vực seo tối thiểu từ 6 tháng trở lên
thiết kế máy móc,thiết kế máy móc
thiết kế và quản trị hệ thống.Hiểu biết sâu sắc về các công cụ quản lý: Github,thiết kế và quản trị hệ thống.hiểu biết sâu sắc về các công cụ quản lý: github
thoáng mát,thoáng mát
thu học phí học viên tại Trung tâm,thu học phí học viên tại trung tâm
thu thập thông tin,thu thập thông tin
thuyết phục khá-Kỹ năng sử dụng vi tính cơ bản-Tâm huyết,thuyết phục khá-kỹ năng sử dụng vi tính cơ bản-tâm huyết
thuyết phục- Có khả năng đi thị trường,thuyết phục- có khả năng đi thị trường
thuyết trình,thuyết trình
thuộc mọi ngóc ngách của khu vực nội thành Hà Nội. - Kỹ năng giao tiếp,thuộc mọi ngóc ngách của khu vực nội thành hà nội. - kỹ năng giao tiếp
thành thạo các cung đường thuộc địa bàn mà công ty yêu cầu - Có am hiểu luật giao thông đường bộ và luôn chấp hành nghiêm chỉnh các quy định khi tham gia giao thông - Có khả năng quan sát kỹ các làn đường,thành thạo các cung đường thuộc địa bàn mà công ty yêu cầu - có am hiểu luật giao thông đường bộ và luôn chấp hành nghiêm chỉnh các quy định khi tham gia giao thông - có khả năng quan sát kỹ các làn đường
thành thạo các kỹ năng sử dụng hàm tính toán trong Excel,thành thạo các kỹ năng sử dụng hàm tính toán trong excel
thành thạo các nghiệp vụ liên quan của Marketing Facebook ads- Ưu tiên tốt nghiệp các trường đại học,thành thạo các nghiệp vụ liên quan của marketing facebook ads- ưu tiên tốt nghiệp các trường đại học
thành thạo kỹ năng giao tiếp,thành thạo kỹ năng giao tiếp
thành thạo sử dụng các trình duyệt,thành thạo sử dụng các trình duyệt
thái độ làm việcBiết lắng nghe tiếp thu ý kiến của đồng nghiệp và cấp trênChăm chỉ,thái độ làm việcbiết lắng nghe tiếp thu ý kiến của đồng nghiệp và cấp trênchăm chỉ
thái độ tích cực,thái độ tích cực
thái độ tốt,thái độ tốt
thân thiện và niềm nở với khách hàng. - Quản lý và sắp xếp thời gian hợp lý,thân thiện và niềm nở với khách hàng. - quản lý và sắp xếp thời gian hợp lý
thân thiện.- Kỹ năng ứng biến và xử lý tình huống tốt.- Kỹ năng word,thân thiện.- kỹ năng ứng biến và xử lý tình huống tốt.- kỹ năng word
thích chiến đấu,thích chiến đấu
thích hợp với các bạn sinh viên đang muốn tìm việc làm thêm thu nhập - Làm FULLTIME,thích hợp với các bạn sinh viên đang muốn tìm việc làm thêm thu nhập - làm fulltime
thông thạo đường Hà Nội. - Kỹ năng ghi nhớ nhanh,thông thạo đường hà nội. - kỹ năng ghi nhớ nhanh
thông tin hàng hóa và tìm kiếm hàng + Sử dụng thành thạo máy tính và một số phần mềm quản lý kho hàng + Có khả năng phối hợp và làm việc nhóm tôt + Có sức khỏe tốt và có thể làm thêm giờ + Có khả năng xử lý các tình huống phát sinh tốt + Kỹ năng giao tiếp bằng lời nói và phi lời nói,thông tin hàng hóa và tìm kiếm hàng + sử dụng thành thạo máy tính và một số phần mềm quản lý kho hàng + có khả năng phối hợp và làm việc nhóm tôt + có sức khỏe tốt và có thể làm thêm giờ + có khả năng xử lý các tình huống phát sinh tốt + kỹ năng giao tiếp bằng lời nói và phi lời nói
thương lượng với khách hangCó kỹ năng giao tiếp và làm việc nhóm tốtSử dụng thành thạo MS OfficeTốt nghiệp Đại học,thương lượng với khách hangcó kỹ năng giao tiếp và làm việc nhóm tốtsử dụng thành thạo ms officetốt nghiệp đại học
thương lượngSử dụng thành thạo tin học văn phòng,thương lượngsử dụng thành thạo tin học văn phòng
thạo đường xá Tích cực giải quyết các vấn đề liên quan đến công việc Có thể tăng ca ngoài giờ làm Kiểm tra,thạo đường xá tích cực giải quyết các vấn đề liên quan đến công việc có thể tăng ca ngoài giờ làm kiểm tra
thẳng thắn,thẳng thắn
thống kê thông tin khách hàng,thống kê thông tin khách hàng
thời gian giao hàng….,thời gian giao hàng
thử thách bản thân và chịu được áp lực cao- Có kinh nghiệm Marketing Facebook ads từ 1 năm trở lên- Là người yêu thích,thử thách bản thân và chịu được áp lực cao- có kinh nghiệm marketing facebook ads từ 1 năm trở lên- là người yêu thích
thực hiện công việc với thái độ nghiêm túc,thực hiện công việc với thái độ nghiêm túc
thực hiện theo chỉ qua 1 lần quan sát. Có kỹ năng giao tiếp,thực hiện theo chỉ qua 1 lần quan sát. có kỹ năng giao tiếp
thực phẩm nguyên vẹn và giữ được độ tươi ngon. - Chịu được áp lực công việc và sự khắc nghiệt của thời tiết. - Linh hoạt và nhanh nhẹn,thực phẩm nguyên vẹn và giữ được độ tươi ngon. - chịu được áp lực công việc và sự khắc nghiệt của thời tiết. - linh hoạt và nhanh nhẹn
tin học văn phòng (đặc biệt là excel).- Kỹ năng tổng hợp,tin học văn phòng (đặc biệt là excel).- kỹ năng tổng hợp
tin học văn phòng ở mức độ trung bình - khá Tốt nghiệp nghiệp vụ kỹ thuật ôtô được cấp bởi Trường trung cấp công nghệ Hà Nội Có điều kiện,tin học văn phòng ở mức độ trung bình - khá tốt nghiệp nghiệp vụ kỹ thuật ôtô được cấp bởi trường trung cấp công nghệ hà nội có điều kiện
tin học văn phòng – đặc biệt là xử lý dữ liệu excel tốt,tin học văn phòng – đặc biệt là xử lý dữ liệu excel tốt
tinh thần chủ động làm việc,tinh thần chủ động làm việc
tinh thần trách nhiệm cao,tinh thần trách nhiệm cao
tinh thần trách nhiệm cao và gắn bó lâu dài với công việcCó kiến thức về kinh doanh online và thương mại điện tử là một lợi thếCó kiến thức về xuất nhập khẩu là một lợi thếBiết tiếng Anh hoặc tiếng Hoa là lợi thế,tinh thần trách nhiệm cao và gắn bó lâu dài với công việccó kiến thức về kinh doanh online và thương mại điện tử là một lợi thếcó kiến thức về xuất nhập khẩu là một lợi thếbiết tiếng anh hoặc tiếng hoa là lợi thế
tỉ mỉ và biết quan sát.- Nhanh nhẹn,tỉ mỉ và biết quan sát.- nhanh nhẹn
tra cứu và đọc hiểu tiếng Anh chuyên ngành- Có khả năng làm việc độc lập hoặc làm việc theo nhóm,tra cứu và đọc hiểu tiếng anh chuyên ngành- có khả năng làm việc độc lập hoặc làm việc theo nhóm
trao đổi tốt. Có kỹ năng làm việc khoa học,trao đổi tốt. có kỹ năng làm việc khoa học
trung thực,trung thực
trung thực có chuyên môn tốt,trung thực có chuyên môn tốt
trung thực.,trung thực
trung thực. Có nguyện vọng làm việc lâu dài tại công ty.- Có khả năng,trung thực. có nguyện vọng làm việc lâu dài tại công ty.- có khả năng
truyền cảm,truyền cảm
trách nhiệm,trách nhiệm
trách nhiệm - Kỹ năng giao tiếp linh hoạt,trách nhiệm - kỹ năng giao tiếp linh hoạt
trách nhiệm - Kỹ năng giao tiếp tốt (điện thoại,trách nhiệm - kỹ năng giao tiếp tốt (điện thoại
trách nhiệm - Kỹ năng thuyết trình tốt - Có khả năng thích nghi nhanh với môi trường làm việc - Kỹ năng tổ chức và quản lý công việc hiệu quả - Khả năng chịu được áp lực công việc - Kỹ năng tự chủ,trách nhiệm - kỹ năng thuyết trình tốt - có khả năng thích nghi nhanh với môi trường làm việc - kỹ năng tổ chức và quản lý công việc hiệu quả - khả năng chịu được áp lực công việc - kỹ năng tự chủ
trách nhiệm và nghiêm túc trong công việc,trách nhiệm và nghiêm túc trong công việc
trách nhiệm- Tốt nghiệp Đại học,trách nhiệm- tốt nghiệp đại học
trách nhiệm. - Giao tiếp,trách nhiệm. - giao tiếp
trách nhiệm. - Kỹ năng giao tiếp linh hoạt,trách nhiệm. - kỹ năng giao tiếp linh hoạt
trách nhiệm. - Kỹ năng giao tiếp tốt (điện thoại,trách nhiệm. - kỹ năng giao tiếp tốt (điện thoại
trách nhiệm. - Kỹ năng thuyết trình tốt - Dễ dàng hòa nhập với môi trường làm việc mới - Quản lý thời gian hiệu quả - Có khả năng làm việc dưới áp lực cao - Kỹ năng làm việc nhóm tốt. - Khả năng giải quyết vấn đề linh hoạt - Kỹ năng thao tác bàn phím tốt - Khả năng truyền đạt thông tin hiệu quả,trách nhiệm. - kỹ năng thuyết trình tốt - dễ dàng hòa nhập với môi trường làm việc mới - quản lý thời gian hiệu quả - có khả năng làm việc dưới áp lực cao - kỹ năng làm việc nhóm tốt. - khả năng giải quyết vấn đề linh hoạt - kỹ năng thao tác bàn phím tốt - khả năng truyền đạt thông tin hiệu quả
trách nhiệm. - Kỹ năng thuyết trình tốt - Dễ dàng làm quen với môi trường mới - Kỹ năng tổ chức và quản lý công việc hiệu quả - Khả năng chịu được áp lực công việc - Kỹ năng làm việc nhóm tốt. - Xử lý tình huống nhanh - Kỹ năng tin học văn phòng thành thạo - Khả năng truyền đạt thông tin hiệu quả,trách nhiệm. - kỹ năng thuyết trình tốt - dễ dàng làm quen với môi trường mới - kỹ năng tổ chức và quản lý công việc hiệu quả - khả năng chịu được áp lực công việc - kỹ năng làm việc nhóm tốt. - xử lý tình huống nhanh - kỹ năng tin học văn phòng thành thạo - khả năng truyền đạt thông tin hiệu quả
tránh vi phạm gây ảnh hưởng tới công việc.,tránh vi phạm gây ảnh hưởng tới công việc
trình bày tốt,trình bày tốt
tuyến đường,tuyến đường
tuyệt đối không sử dụng chất kích thích Có thể vận hành xe trên tuyến đường dài,tuyệt đối không sử dụng chất kích thích có thể vận hành xe trên tuyến đường dài
tuổi từ 20 – 35 tuổi. Tốt nghiệp THPT trở lên. Có khả năng xử lý,tuổi từ 20 – 35 tuổi. tốt nghiệp thpt trở lên. có khả năng xử lý
tuổi từ 22-40,tuổi từ 22-40
tuổi từ 25 - 40- Chỉ cần tốt nghiệp THPT.- Có sức khỏe tốt.- Có phương tiện và không ngại di chuyển.- Kỹ năng thương lượng,tuổi từ 25 - 40- chỉ cần tốt nghiệp thpt.- có sức khỏe tốt.- có phương tiện và không ngại di chuyển.- kỹ năng thương lượng
tài chính,tài chính
tài liệu,tài liệu
tài liệu của công ty một cách khoa học và hợp lý nhất. Mặt khác,tài liệu của công ty một cách khoa học và hợp lý nhất. mặt khác
tác phong chuyên nghiệp,tác phong chuyên nghiệp
tìm hiểu cập nhật các trend mới,tìm hiểu cập nhật các trend mới
tìm hiểu thêm để khắc phục thiếu sót của bản thân nhằm áp dụng phát triển doanh nghiệp.,tìm hiểu thêm để khắc phục thiếu sót của bản thân nhằm áp dụng phát triển doanh nghiệp
tìm tòi các cách làm mới để phát triển bản thân và công việc,tìm tòi các cách làm mới để phát triển bản thân và công việc
tích cực,tích cực
tính toán số lượng hàng hóa Có chứng chỉ hành nghề lái xe hạng B2 Đảm bảo công tác lái xe an toàn Có đầy đủ Giấy phép lái xe,tính toán số lượng hàng hóa có chứng chỉ hành nghề lái xe hạng b2 đảm bảo công tác lái xe an toàn có đầy đủ giấy phép lái xe
tính toán số lượng hàng hóa Có chứng chỉ hành nghề lái xe hạng C Đảm bảo công tác lái xe an toàn Có đầy đủ Giấy phép lái xe,tính toán số lượng hàng hóa có chứng chỉ hành nghề lái xe hạng c đảm bảo công tác lái xe an toàn có đầy đủ giấy phép lái xe
tính toán số lượng hàng hóa Có chứng chỉ hành nghề lái xe hạng D Đảm bảo công tác lái xe an toàn Có đầy đủ Giấy phép lái xe,tính toán số lượng hàng hóa có chứng chỉ hành nghề lái xe hạng d đảm bảo công tác lái xe an toàn có đầy đủ giấy phép lái xe
tôi có vốn ngoại ngữ ổn định 2 kỹ năng nghe,tôi có vốn ngoại ngữ ổn định 2 kỹ năng nghe
tôi cũng đã có kinh nghiệm tại những vị trí tương đương và muốn thử sức thêm ở ngành nghề này. Thêm vào đấy,tôi cũng đã có kinh nghiệm tại những vị trí tương đương và muốn thử sức thêm ở ngành nghề này. thêm vào đấy
tôi sẵn sàng học hỏi,tôi sẵn sàng học hỏi
tôi tự tin với vốn kiến thức của mình. Điều này thể hiện rõ trong bảng điểm. Ngoài ra,tôi tự tin với vốn kiến thức của mình. điều này thể hiện rõ trong bảng điểm. ngoài ra
tư duy logic... do đã có thời gian hoạt động tại ban điều hành trong câu lạc bộ của chuyên ngành tại trường Đại học. Trước đây,tư duy logic... do đã có thời gian hoạt động tại ban điều hành trong câu lạc bộ của chuyên ngành tại trường đại học. trước đây
tư duy làm việc nhóm tốt + Cầu toàn và tỉ mỉ trong công việc + Có chứng chỉ tin học nâng cao + Là người điềm tĩnh,tư duy làm việc nhóm tốt + cầu toàn và tỉ mỉ trong công việc + có chứng chỉ tin học nâng cao + là người điềm tĩnh
tư duy thiết kế và khả năng sáng tạo- Có đam mê,tư duy thiết kế và khả năng sáng tạo- có đam mê
tư vấn,tư vấn
tư vấn bán hàng. Ưu tiên ứng viên có kinh nghiệm trong lĩnh vực Bảo Hiểm,tư vấn bán hàng. ưu tiên ứng viên có kinh nghiệm trong lĩnh vực bảo hiểm
tư vấn thuyết phục khách hàng tốt- Ngoại hình ưa nhìn,tư vấn thuyết phục khách hàng tốt- ngoại hình ưa nhìn
tư vấn viên với ít nhất từ 1 năm kinh nghiệm trong các ngành: Bảo Hiểm,tư vấn viên với ít nhất từ 1 năm kinh nghiệm trong các ngành: bảo hiểm
tư vấn viên với ít nhất từ 2 năm kinh nghiệm trong các ngành- Năng động,tư vấn viên với ít nhất từ 2 năm kinh nghiệm trong các ngành- năng động
tạo dựng từng mối quan hệ và kỹ năng làm việc nhóm.7. Có khả năng làm việc với tất cả các cấp và phải có khả năng thích ứng với các phong cách làm việc khác nhau.,tạo dựng từng mối quan hệ và kỹ năng làm việc nhóm.7. có khả năng làm việc với tất cả các cấp và phải có khả năng thích ứng với các phong cách làm việc khác nhau
tận tâm,tận tâm
tỉ mỉ,tỉ mỉ
tỉ mỉ Kỹ năng bảo dưỡng,tỉ mỉ kỹ năng bảo dưỡng
tỉ mỉ và cẩn thận trong công việc. - Nhanh chóng thích ứng với nơi làm việc và môi trường mới.,tỉ mỉ và cẩn thận trong công việc. - nhanh chóng thích ứng với nơi làm việc và môi trường mới
tỉ mỉ. Kỹ năng:- Có tính cách cởi mở,tỉ mỉ. kỹ năng:- có tính cách cởi mở
tối ưu hóa hiệu suất ứng dụng Flutter.Kĩ năng giải quyết vấn đề trong công việc.Chủ động giao tiếp,tối ưu hóa hiệu suất ứng dụng flutter.kĩ năng giải quyết vấn đề trong công việc.chủ động giao tiếp
tổ chức sắp xếp công việc. - Chịu được áp lực cao trong công việc - Kỹ năng làm việc nhóm hiệu quả - Khả năng nhận diện vấn đề nhanh - Thành thạo tin học văn phòng - Có thể quản lý đội nhóm có nhiều thành viên,tổ chức sắp xếp công việc. - chịu được áp lực cao trong công việc - kỹ năng làm việc nhóm hiệu quả - khả năng nhận diện vấn đề nhanh - thành thạo tin học văn phòng - có thể quản lý đội nhóm có nhiều thành viên
tổ chức sắp xếp công việc. - Có khả năng làm việc dưới áp lực cao - Có khả năng xây dựng và làm việc theo đội nhóm - Khả năng tìm kiếm giải pháp và lựa chọn các giải pháp tối ưu - Sử dụng thành thạo phần mềm Microsoft Word,tổ chức sắp xếp công việc. - có khả năng làm việc dưới áp lực cao - có khả năng xây dựng và làm việc theo đội nhóm - khả năng tìm kiếm giải pháp và lựa chọn các giải pháp tối ưu - sử dụng thành thạo phần mềm microsoft word
